radian measurement is represented as rad
		 rad 		| cos(radian) 		| sin(rad) 		| tan(rad)
		0.0		 | 1.0		 0.0 		 0.0
		0.262		 | 0.9659258403858574		 0.25881899249258195 		 0.2679491340548378
		0.524		 | 0.8660254582502496		 0.49999990566243624 		 0.5773501239474587
		0.785		 | 0.7071068967259818		 0.7071066656470943 		 0.9999996732051568
		1.047		 | 0.5000001886751096		 0.8660252948527859 		 1.7320499361161483
		1.309		 | 0.2588193081522034		 0.9659257558050799 		 3.7320467421891483
		1.571		 | 3.2679489676018296E-7		 0.9999999999999466 		 3060023.304873675
		1.833		 | -0.2588186768329328		 0.9659259249665317 		 -3.732056499114382
		2.094		 | -0.49999962264970943		 0.8660256216476209 		 -1.732052550476308
		2.356		 | -0.7071064345681313		 0.7071071278047938 		 -1.0000009803851706
		2.618		 | -0.8660251314552296		 0.5000004716877298 		 -0.5773509954007358
		2.88		 | -0.9659256712241993		 0.2588196238117972 		 -0.26794983457036936
		3.142		 | -0.9999999999997864		 6.535897935203311E-7 		 -6.535897935204706E-7
		3.403		 | -0.965926009547103		 -0.258818361173256 		 0.26794843353955144
		3.665		 | -0.8660257850448998		 -0.49999933963692894 		 0.5773492524948389
		3.927		 | -0.7071073588835305		 -0.7071062034890926 		 0.9999983660268509
		4.189		 | -0.5000007547002964		 -0.866024968057581 		 1.732047321761908
		4.451		 | -0.25881993947136317		 -0.9659255866432155 		 3.7320369853115167
		4.712		 | -9.803846900583647E-7		 -0.9999999999995194 		 1020007.7685219534
		4.974		 | 0.25881804551355186		 -0.9659260941275709 		 -3.732066256087211
		5.236		 | 0.4999990566240954		 -0.866025948442086 		 -1.7320551648423879
		5.498		 | 0.7071059724099786		 -0.7071075899621914 		 -1.0000022875668937
		5.76		 | 0.8660248046598396		 -0.5000010377128099 		 -0.5773518668546707
		6.021		 | 0.9659255020621285		 -0.2588202551309019 		 -0.2679505350861464
		6.283		 | 0.9999999999991457		 -1.3071795870403828E-6 		 -1.3071795870414997E-6
